date,game,minimum,decision,confidence,actual_total,went_over,result,reasoning,month
2024-10-22,New York Knicks @ Boston Celtics,217.0,NO,61,241,True,SKIPPED,Elite offense (119.5) | Average pace (96.2) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-23,Memphis Grizzlies @ Utah Jazz,218.5,NO,68,250,True,SKIPPED,Strong offense (114.5) | Fast pace (101.7) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-24,Minnesota Timberwolves @ Sacramento Kings,215.0,NO,61,232,True,SKIPPED,Elite offense (116.7) | Average pace (97.8) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-24,Boston Celtics @ Washington Wizards,209.5,NO,43,224,True,SKIPPED,Above-avg offense (113.7) | Above average pace (98.3) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-10
2024-10-24,San Antonio Spurs @ Dallas Mavericks,213.0,NO,58,229,True,SKIPPED,Strong offense (114.6) | Above average pace (99.2) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-24,Oklahoma City Thunder @ Denver Nuggets,226.5,NO,63,189,False,SKIPPED,Elite offense (120.1) | Above average pace (99.9) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (99+ days),2024-10
2024-10-25,Phoenix Suns @ Los Angeles Lakers,212.0,NO,61,239,True,SKIPPED,Elite offense (116.1) | Average pace (97.3) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-25,Golden State Warriors @ Utah Jazz,210.5,NO,48,213,True,SKIPPED,Above-avg offense (113.1) | Above average pace (99.3) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-25,New Orleans Pelicans @ Portland Trail Blazers,205.5,NO,38,208,True,SKIPPED,Weak offense (111.1) | Above average pace (98.9) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-25,Brooklyn Nets @ Orlando Magic,195.5,NO,31,217,True,SKIPPED,Weak offense (109.0) | Average pace (96.2) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-25,Philadelphia 76ers @ Toronto Raptors,205.5,NO,38,222,True,SKIPPED,Weak offense (111.2) | Above average pace (98.6) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-25,Chicago Bulls @ Milwaukee Bucks,218.5,NO,63,255,True,SKIPPED,Strong offense (115.0) | Fast pace (101.0) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-10
2024-10-25,Detroit Pistons @ Cleveland Cavaliers,222.5,NO,63,214,False,SKIPPED,Elite offense (118.3) | Above average pace (99.8) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (2+ days),2024-10
2024-10-25,Indiana Pacers @ New York Knicks,218.0,NO,68,221,True,SKIPPED,Elite offense (117.5) | Above average pace (98.3) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-25,Memphis Grizzlies @ Houston Rockets,221.0,NO,78,236,True,SKIPPED,Elite offense (116.5) | Fast pace (100.9) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-25,Charlotte Hornets @ Atlanta Hawks,208.5,NO,43,245,True,SKIPPED,Weak offense (110.9) | Fast pace (100.1) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-10
2024-10-26,Boston Celtics @ Detroit Pistons,217.0,NO,51,242,True,SKIPPED,Elite offense (117.8) | Average pace (97.8) | Both teams neutral form | Tight buffer (14.8) | Detroit Pistons on back-to-back,2024-10
2024-10-26,Cleveland Cavaliers @ Washington Wizards,215.0,NO,58,251,True,SKIPPED,Strong offense (114.2) | Fast pace (100.3) | Both teams neutral form | Tight buffer (14.9) | Cleveland Cavaliers on back-to-back,2024-10
2024-10-26,Los Angeles Clippers @ Denver Nuggets,218.5,NO,68,213,False,SKIPPED,Elite offense (117.5) | Above average pace (98.7) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (3+ days),2024-10
2024-10-26,Orlando Magic @ Memphis Grizzlies,212.0,NO,38,235,True,SKIPPED,Above-avg offense (113.6) | Above average pace (99.7) | Both teams neutral form | Moderate buffer (15.1) | Both teams on back-to-back (fatigued),2024-10
2024-10-26,Sacramento Kings @ Los Angeles Lakers,214.0,NO,56,258,True,SKIPPED,Elite offense (116.3) | Average pace (97.9) | Both teams neutral form | Moderate buffer (15.1) | Los Angeles Lakers on back-to-back,2024-10
2024-10-26,Dallas Mavericks @ Phoenix Suns,213.0,NO,48,216,True,SKIPPED,Strong offense (115.5) | Above average pace (98.2) | Both teams neutral form | Tight buffer (14.8) | Phoenix Suns on back-to-back,2024-10
2024-10-26,Houston Rockets @ San Antonio Spurs,213.0,NO,53,215,True,SKIPPED,Strong offense (114.8) | Above average pace (98.9) | Both teams neutral form | Moderate buffer (15.2) | Houston Rockets on back-to-back,2024-10
2024-10-26,Oklahoma City Thunder @ Chicago Bulls,223.5,NO,68,209,False,SKIPPED,Elite offense (117.2) | Fast pace (101.4) | Both teams neutral form | Tight buffer (14.8) | Chicago Bulls on back-to-back,2024-10
2024-10-26,Toronto Raptors @ Minnesota Timberwolves,210.0,NO,43,213,True,SKIPPED,Above-avg offense (113.5) | Above average pace (98.5) | Both teams neutral form | Moderate buffer (15.2) | Toronto Raptors on back-to-back,2024-10
2024-10-26,Miami Heat @ Charlotte Hornets,200.5,NO,26,220,True,SKIPPED,Weak offense (110.4) | Average pace (96.9) | Both teams neutral form | Moderate buffer (15.2) | Charlotte Hornets on back-to-back,2024-10
2024-10-27,Milwaukee Bucks @ Brooklyn Nets,205.5,NO,41,217,True,SKIPPED,Above-avg offense (112.2) | Average pace (97.8) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (2+ days),2024-10
2024-10-27,Atlanta Hawks @ Oklahoma City Thunder,223.5,NO,73,232,True,SKIPPED,Elite offense (117.4) | Fast pace (101.3) | Both teams neutral form | Moderate buffer (15.2) | Oklahoma City Thunder on back-to-back,2024-10
2024-10-27,Philadelphia 76ers @ Indiana Pacers,212.0,NO,58,232,True,SKIPPED,Strong offense (114.2) | Above average pace (98.7) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-27,New Orleans Pelicans @ Portland Trail Blazers,205.5,NO,38,228,True,SKIPPED,Weak offense (111.1) | Above average pace (98.9) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-27,Los Angeles Clippers @ Golden State Warriors,211.5,NO,53,216,True,SKIPPED,Strong offense (115.0) | Above average pace (98.1) | Both teams neutral form | Moderate buffer (15.2) | Los Angeles Clippers on back-to-back,2024-10
2024-10-28,Los Angeles Lakers @ Phoenix Suns,212.0,NO,65,214,True,SKIPPED,Elite offense (116.1) | Average pace (97.3) | Los Angeles Lakers hot (HOT) | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-28,Indiana Pacers @ Orlando Magic,208.0,NO,42,234,True,SKIPPED,Above-avg offense (113.0) | Above average pace (98.0) | Orlando Magic hot (HOT) | Tight buffer (14.8) | Indiana Pacers on back-to-back,2024-10
2024-10-28,Portland Trail Blazers @ Sacramento Kings,211.5,NO,53,209,False,SKIPPED,Strong offense (114.2) | Above average pace (98.5) | Both teams neutral form | Moderate buffer (15.1) | Portland Trail Blazers on back-to-back,2024-10
2024-10-28,Utah Jazz @ Dallas Mavericks,211.0,NO,48,212,True,SKIPPED,Above-avg offense (113.0) | Above average pace (99.6) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (3+ days),2024-10
2024-10-28,Denver Nuggets @ Toronto Raptors,216.5,NO,58,252,True,SKIPPED,Strong offense (115.2) | Above average pace (99.8) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-28,Houston Rockets @ San Antonio Spurs,213.0,NO,58,207,False,SKIPPED,Strong offense (114.8) | Above average pace (98.9) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-28,Washington Wizards @ Atlanta Hawks,211.0,NO,43,240,True,SKIPPED,Weak offense (110.7) | Fast pace (101.8) | Both teams neutral form | Moderate buffer (15.2) | Atlanta Hawks on back-to-back,2024-10
2024-10-28,Cleveland Cavaliers @ New York Knicks,222.5,NO,72,214,False,SKIPPED,Elite offense (120.1) | Above average pace (98.2) | Cleveland Cavaliers hot (HOT) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-28,Detroit Pistons @ Miami Heat,211.0,NO,50,204,False,SKIPPED,Strong offense (114.2) | Above average pace (98.0) | Detroit Pistons cold (scoring slump) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-10
2024-10-28,Chicago Bulls @ Memphis Grizzlies,224.5,NO,68,249,True,SKIPPED,Strong offense (115.9) | Fast pace (103.0) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-28,Milwaukee Bucks @ Boston Celtics,217.0,NO,55,227,True,SKIPPED,Elite offense (118.2) | Average pace (97.5) | Boston Celtics hot (HOT) | Tight buffer (14.8) | Milwaukee Bucks on back-to-back,2024-10
2024-10-29,New Orleans Pelicans @ Golden State Warriors,208.5,NO,52,230,True,SKIPPED,Above-avg offense (112.7) | Above average pace (98.9) | Golden State Warriors hot (HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-10
2024-10-29,Denver Nuggets @ Brooklyn Nets,211.0,NO,52,283,True,SKIPPED,Strong offense (114.2) | Above average pace (98.1) | Brooklyn Nets hot (HOT) | Tight buffer (14.9) | Denver Nuggets on back-to-back,2024-10
2024-10-29,Dallas Mavericks @ Minnesota Timberwolves,213.5,NO,53,234,True,SKIPPED,Strong offense (115.7) | Above average pace (98.2) | Both teams neutral form | Moderate buffer (15.0) | Dallas Mavericks on back-to-back,2024-10
2024-10-29,Sacramento Kings @ Utah Jazz,212.5,NO,30,209,False,SKIPPED,Above-avg offense (114.0) | Above average pace (99.1) | Utah Jazz cold (scoring slump) | Moderate buffer (15.1) | Both teams on back-to-back (fatigued),2024-10
2024-10-30,New Orleans Pelicans @ Golden State Warriors,208.5,NO,42,193,False,SKIPPED,Above-avg offense (112.7) | Above average pace (98.9) | Golden State Warriors hot (HOT) | Moderate buffer (15.1) | Both teams on back-to-back (fatigued),2024-10
2024-10-30,San Antonio Spurs @ Oklahoma City Thunder,219.5,NO,55,198,False,SKIPPED,Elite offense (117.3) | Above average pace (99.7) | San Antonio Spurs cold (scoring slump) | Tight buffer (14.9) | Both teams rested (2+ days),2024-10
2024-10-30,Brooklyn Nets @ Memphis Grizzlies,212.0,NO,42,225,True,SKIPPED,Above-avg offense (113.1) | Above average pace (99.8) | Brooklyn Nets hot (HOT) | Tight buffer (14.8) | Brooklyn Nets on back-to-back,2024-10
2024-10-30,Orlando Magic @ Chicago Bulls,208.0,NO,42,201,False,SKIPPED,Weak offense (111.8) | Above average pace (99.4) | Orlando Magic hot (HOT) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-30,Detroit Pistons @ Philadelphia 76ers,210.0,NO,40,200,False,SKIPPED,Above-avg offense (113.5) | Above average pace (98.6) | Detroit Pistons cold (scoring slump) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-10
2024-10-30,New York Knicks @ Miami Heat,211.5,NO,56,223,True,SKIPPED,Elite offense (116.0) | Average pace (96.5) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (2+ days),2024-10
2024-10-30,Toronto Raptors @ Charlotte Hornets,201.0,NO,42,271,True,SKIPPED,Weak offense (108.9) | Above average pace (98.7) | Charlotte Hornets hot (HOT) | Moderate buffer (15.0) | Both teams rested (2+ days),2024-10
2024-10-30,Los Angeles Lakers @ Cleveland Cavaliers,220.5,NO,67,244,True,SKIPPED,Elite offense (118.8) | Above average pace (98.7) | Los Angeles Lakers hot (WARM) | Tight buffer (14.8) | Both teams rested (2+ days),2024-10
2024-10-30,Boston Celtics @ Indiana Pacers,218.5,NO,65,267,True,SKIPPED,Elite offense (118.5) | Average pace (97.8) | Boston Celtics hot (HOT) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-30,Portland Trail Blazers @ Los Angeles Clippers,209.0,NO,43,211,True,SKIPPED,Above-avg offense (113.4) | Above average pace (98.2) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-10
2024-10-30,Atlanta Hawks @ Washington Wizards,211.0,NO,52,253,True,SKIPPED,Weak offense (110.7) | Fast pace (101.8) | Washington Wizards hot (HOT) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-10
2024-10-31,Milwaukee Bucks @ Memphis Grizzlies,222.0,NO,73,221,False,SKIPPED,Elite offense (116.8) | Fast pace (101.3) | Both teams neutral form | Moderate buffer (15.2) | Memphis Grizzlies on back-to-back,2024-10
2024-10-31,Houston Rockets @ Dallas Mavericks,213.5,NO,58,210,False,SKIPPED,Strong offense (115.0) | Above average pace (98.9) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (3+ days),2024-10
2024-10-31,San Antonio Spurs @ Utah Jazz,211.0,NO,30,194,False,SKIPPED,Above-avg offense (112.8) | Above average pace (99.7) | San Antonio Spurs cold (scoring slump) | Tight buffer (14.8) | San Antonio Spurs on back-to-back,2024-10
2024-10-31,Phoenix Suns @ Los Angeles Clippers,211.5,NO,46,244,True,SKIPPED,Strong offense (115.7) | Average pace (97.3) | Both teams neutral form | Moderate buffer (15.0) | Los Angeles Clippers on back-to-back,2024-10
2024-11-01,Indiana Pacers @ New Orleans Pelicans,212.0,NO,48,243,True,SKIPPED,Above-avg offense (113.5) | Above average pace (99.5) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-01,New York Knicks @ Detroit Pistons,216.5,NO,55,226,True,SKIPPED,Elite offense (116.8) | Above average pace (98.2) | Detroit Pistons cold (scoring slump) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-01,Orlando Magic @ Cleveland Cavaliers,212.5,NO,58,229,True,SKIPPED,Strong offense (115.6) | Average pace (97.9) | Both teams hot (HOT/WARM) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-01,Sacramento Kings @ Atlanta Hawks,219.0,NO,63,238,True,SKIPPED,Strong offense (115.7) | Fast pace (100.4) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (3+ days),2024-11
2024-11-01,Chicago Bulls @ Brooklyn Nets,208.0,NO,37,232,True,SKIPPED,Weak offense (111.3) | Above average pace (99.6) | Brooklyn Nets hot (HOT) | Tight buffer (14.9) | Both teams rested (2+ days),2024-11
2024-11-01,Denver Nuggets @ Minnesota Timberwolves,220.0,NO,60,235,True,SKIPPED,Elite offense (118.2) | Above average pace (98.5) | Denver Nuggets cold (scoring slump) | Moderate buffer (15.1) | Both teams rested (3+ days),2024-11
2024-11-01,Oklahoma City Thunder @ Portland Trail Blazers,216.5,NO,55,251,True,SKIPPED,Elite offense (116.0) | Above average pace (99.4) | Oklahoma City Thunder cold (scoring slump) | Tight buffer (14.9) | Both teams rested (2+ days),2024-11
2024-11-01,Los Angeles Lakers @ Toronto Raptors,209.5,NO,47,256,True,SKIPPED,Above-avg offense (113.2) | Above average pace (98.7) | Toronto Raptors hot (HOT) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-01,Boston Celtics @ Charlotte Hornets,206.5,NO,48,233,True,SKIPPED,Above-avg offense (113.9) | Average pace (96.7) | Both teams hot (HOT/HOT) | Tight buffer (14.9) | Both teams rested (2+ days),2024-11
2024-11-02,Golden State Warriors @ Houston Rockets,213.0,NO,62,248,True,SKIPPED,Strong offense (115.2) | Above average pace (98.7) | Golden State Warriors hot (HOT) | Moderate buffer (15.1) | Both teams rested (3+ days),2024-11
2024-11-02,Boston Celtics @ Charlotte Hornets,206.5,NO,38,216,True,SKIPPED,Above-avg offense (113.9) | Average pace (96.7) | Both teams hot (HOT/HOT) | Tight buffer (14.9) | Both teams on back-to-back (fatigued),2024-11
2024-11-02,Portland Trail Blazers @ Phoenix Suns,209.5,NO,36,200,False,SKIPPED,Above-avg offense (114.0) | Average pace (97.9) | Both teams neutral form | Moderate buffer (15.0) | Portland Trail Blazers on back-to-back,2024-11
2024-11-02,Memphis Grizzlies @ Philadelphia 76ers,216.5,NO,63,231,True,SKIPPED,Strong offense (114.8) | Fast pace (100.3) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-02,Sacramento Kings @ Toronto Raptors,211.5,NO,42,259,True,SKIPPED,Above-avg offense (113.6) | Above average pace (99.0) | Toronto Raptors hot (HOT) | Moderate buffer (15.1) | Both teams on back-to-back (fatigued),2024-11
2024-11-02,Utah Jazz @ Denver Nuggets,217.5,NO,45,232,True,SKIPPED,Strong offense (115.6) | Above average pace (99.9) | Utah Jazz cold (scoring slump) | Moderate buffer (15.2) | Denver Nuggets on back-to-back,2024-11
2024-11-02,Miami Heat @ Washington Wizards,203.5,NO,42,216,True,SKIPPED,Weak offense (110.2) | Above average pace (98.6) | Washington Wizards hot (HOT) | Moderate buffer (15.1) | Both teams rested (3+ days),2024-11
2024-11-02,Minnesota Timberwolves @ San Antonio Spurs,213.0,NO,45,216,True,SKIPPED,Strong offense (115.5) | Above average pace (98.3) | San Antonio Spurs cold (scoring slump) | Moderate buffer (15.2) | Minnesota Timberwolves on back-to-back,2024-11
2024-11-02,Cleveland Cavaliers @ Milwaukee Bucks,222.5,NO,58,227,True,SKIPPED,Elite offense (118.8) | Above average pace (99.5) | Both teams neutral form | Tight buffer (14.9) | Cleveland Cavaliers on back-to-back,2024-11
2024-11-02,Oklahoma City Thunder @ Los Angeles Clippers,218.5,NO,58,197,False,SKIPPED,Elite offense (117.7) | Above average pace (98.8) | Both teams neutral form | Tight buffer (14.9) | Oklahoma City Thunder on back-to-back,2024-11
2024-11-03,Orlando Magic @ Dallas Mavericks,204.5,NO,45,193,False,SKIPPED,Above-avg offense (112.1) | Average pace (97.7) | Orlando Magic hot (HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-03,Atlanta Hawks @ New Orleans Pelicans,213.0,NO,58,237,True,SKIPPED,Above-avg offense (112.5) | Fast pace (100.8) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-11
2024-11-03,Detroit Pistons @ Brooklyn Nets,205.5,NO,42,198,False,SKIPPED,Weak offense (111.8) | Above average pace (98.1) | Brooklyn Nets hot (HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-04,Utah Jazz @ Chicago Bulls,214.5,NO,50,261,True,SKIPPED,Above-avg offense (112.7) | Fast pace (101.4) | Utah Jazz cold (scoring slump) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-04,San Antonio Spurs @ Los Angeles Clippers,212.0,NO,45,217,True,SKIPPED,Strong offense (114.8) | Above average pace (98.4) | San Antonio Spurs cold (scoring slump) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-04,Philadelphia 76ers @ Phoenix Suns,208.0,NO,51,234,True,SKIPPED,Strong offense (114.1) | Average pace (97.2) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-04,Orlando Magic @ Oklahoma City Thunder,211.0,NO,40,188,False,SKIPPED,Strong offense (114.8) | Above average pace (98.0) | Oklahoma City Thunder cold (scoring slump) | Tight buffer (14.9) | Orlando Magic on back-to-back,2024-11
2024-11-04,Indiana Pacers @ Dallas Mavericks,216.5,NO,53,261,True,SKIPPED,Strong offense (115.7) | Above average pace (99.6) | Both teams neutral form | Moderate buffer (15.1) | Dallas Mavericks on back-to-back,2024-11
2024-11-04,Portland Trail Blazers @ New Orleans Pelicans,205.5,NO,25,218,True,SKIPPED,Weak offense (111.1) | Above average pace (98.9) | Portland Trail Blazers cold (scoring slump) | Moderate buffer (15.2) | New Orleans Pelicans on back-to-back,2024-11
2024-11-04,Charlotte Hornets @ Minnesota Timberwolves,204.5,NO,30,207,True,SKIPPED,Weak offense (111.9) | Average pace (97.4) | Charlotte Hornets hot (HOT) | Tight buffer (14.9) | Both teams rested (2+ days),2024-11
2024-11-04,Toronto Raptors @ Denver Nuggets,216.5,NO,62,240,True,SKIPPED,Strong offense (115.2) | Above average pace (99.8) | Toronto Raptors hot (HOT) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-04,Sacramento Kings @ Miami Heat,211.5,NO,50,221,True,SKIPPED,Strong offense (115.1) | Average pace (97.2) | Sacramento Kings hot (WARM) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-04,New York Knicks @ Houston Rockets,215.0,NO,61,206,False,SKIPPED,Elite offense (116.9) | Average pace (97.7) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (3+ days),2024-11
2024-11-04,Boston Celtics @ Atlanta Hawks,219.5,NO,67,216,False,SKIPPED,Elite offense (117.6) | Above average pace (99.2) | Boston Celtics hot (HOT) | Moderate buffer (15.0) | Atlanta Hawks on back-to-back,2024-11
2024-11-04,Milwaukee Bucks @ Cleveland Cavaliers,222.5,NO,63,230,True,SKIPPED,Elite offense (118.8) | Above average pace (99.5) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (2+ days),2024-11
2024-11-04,Golden State Warriors @ Washington Wizards,207.0,NO,45,237,True,SKIPPED,Weak offense (110.9) | Above average pace (99.8) | Both teams hot (HOT/HOT) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-04,Los Angeles Lakers @ Detroit Pistons,214.0,NO,52,218,True,SKIPPED,Strong offense (115.5) | Above average pace (98.7) | Los Angeles Lakers hot (WARM) | Tight buffer (14.9) | Detroit Pistons on back-to-back,2024-11
2024-11-04,Memphis Grizzlies @ Brooklyn Nets,212.0,NO,42,210,False,SKIPPED,Above-avg offense (113.1) | Above average pace (99.8) | Brooklyn Nets hot (HOT) | Tight buffer (14.8) | Brooklyn Nets on back-to-back,2024-11
2024-11-06,Philadelphia 76ers @ Los Angeles Clippers,207.5,NO,41,208,True,SKIPPED,Above-avg offense (113.5) | Average pace (97.5) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-11
2024-11-06,Miami Heat @ Phoenix Suns,209.0,NO,51,227,True,SKIPPED,Strong offense (114.8) | Average pace (96.7) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-06,Toronto Raptors @ Sacramento Kings,211.5,NO,52,229,True,SKIPPED,Above-avg offense (113.6) | Above average pace (99.0) | Toronto Raptors hot (HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-06,Orlando Magic @ Indiana Pacers,208.0,NO,43,229,True,SKIPPED,Above-avg offense (113.0) | Above average pace (98.0) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-06,New York Knicks @ Atlanta Hawks,219.0,NO,68,237,True,SKIPPED,Elite offense (116.5) | Above average pace (99.7) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-11
2024-11-06,Golden State Warriors @ Boston Celtics,215.0,NO,73,230,True,SKIPPED,Elite offense (117.8) | Average pace (97.2) | Both teams hot (HOT/HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-06,San Antonio Spurs @ Houston Rockets,213.0,NO,50,227,True,SKIPPED,Strong offense (114.8) | Above average pace (98.9) | San Antonio Spurs cold (scoring slump) | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-06,Los Angeles Lakers @ Memphis Grizzlies,220.0,NO,78,245,True,SKIPPED,Elite offense (116.8) | Fast pace (100.4) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-06,Cleveland Cavaliers @ New Orleans Pelicans,216.5,NO,68,253,True,SKIPPED,Elite offense (116.1) | Above average pace (99.4) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (2+ days),2024-11
2024-11-06,Detroit Pistons @ Charlotte Hornets,205.5,NO,42,215,True,SKIPPED,Weak offense (111.2) | Above average pace (98.7) | Charlotte Hornets hot (HOT) | Moderate buffer (15.1) | Both teams rested (2+ days),2024-11
2024-11-06,Chicago Bulls @ Dallas Mavericks,217.0,NO,68,218,True,SKIPPED,Strong offense (114.4) | Fast pace (101.0) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (2+ days),2024-11
2024-11-06,Oklahoma City Thunder @ Denver Nuggets,226.5,NO,55,246,True,SKIPPED,Elite offense (120.1) | Above average pace (99.9) | Oklahoma City Thunder cold (scoring slump) | Tight buffer (14.8) | Both teams rested (2+ days),2024-11
2024-11-07,Portland Trail Blazers @ San Antonio Spurs,210.0,NO,30,223,True,SKIPPED,Above-avg offense (113.1) | Above average pace (99.0) | San Antonio Spurs cold (scoring slump) | Tight buffer (14.8) | San Antonio Spurs on back-to-back,2024-11
2024-11-07,Minnesota Timberwolves @ Chicago Bulls,217.0,NO,55,254,True,SKIPPED,Strong offense (115.3) | Fast pace (100.0) | Chicago Bulls cold (scoring slump) | Moderate buffer (15.1) | Chicago Bulls on back-to-back,2024-11
