date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-26,Toronto Raptors @ Dallas Mavericks,213.0,NO,62,62,268.0,True,SKIPPED,Fast pace (102.6) | Both teams hot (HOT/HOT) | Moderate buffer (14.8 pts above minimum)
2025-10-23,Oklahoma City Thunder @ Indiana Pacers,220.5,NO,57,57,276.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.4) | Above average pace (99.8) | Indiana Pacers hot (WARM)
2025-10-23,Denver Nuggets @ Golden State Warriors,227.5,YES,87,87,268.0,True,WIN,Elite offense (avg ORtg: 119.4) | Fast pace (100.0) | Denver Nuggets hot (WARM)
2025-10-23,Oklahoma City Thunder @ Indiana Pacers,220.5,NO,57,57,276.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.4) | Above average pace (99.8) | Indiana Pacers hot (WARM)
2025-10-23,Denver Nuggets @ Golden State Warriors,227.5,YES,87,87,268.0,True,WIN,Elite offense (avg ORtg: 119.4) | Fast pace (100.0) | Denver Nuggets hot (WARM)
2025-10-30,Golden State Warriors @ Milwaukee Bucks,222.5,MAYBE,75,75,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.8) | Fast pace (101.0) | Good buffer (15.0 pts above minimum)
2025-10-30,Miami Heat @ San Antonio Spurs,227.0,YES,83,83,208.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (101.8) | Both teams neutral form
2025-10-30,Orlando Magic @ Charlotte Hornets,221.5,MAYBE,78,78,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Fast pace (101.8) | Both teams neutral form
2025-10-30,Golden State Warriors @ Milwaukee Bucks,222.5,MAYBE,75,75,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.8) | Fast pace (101.0) | Good buffer (15.0 pts above minimum)
2025-10-30,Washington Wizards @ Oklahoma City Thunder,220.0,NO,67,67,235.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.6) | Fast pace (101.2) | Washington Wizards hot (HOT)
2025-10-30,Orlando Magic @ Charlotte Hornets,221.5,MAYBE,78,78,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Fast pace (101.8) | Both teams neutral form
2025-10-30,Miami Heat @ San Antonio Spurs,227.0,YES,83,83,208.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (101.8) | Both teams neutral form
2025-10-30,Washington Wizards @ Oklahoma City Thunder,220.0,NO,67,67,235.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.6) | Fast pace (101.2) | Washington Wizards hot (HOT)
2025-11-04,Philadelphia 76ers @ Chicago Bulls,229.0,YES,83,83,224.0,False,LOSS,Elite offense (avg ORtg: 119.8) | Fast pace (101.1) | Both teams neutral form
2025-11-04,Orlando Magic @ Atlanta Hawks,218.0,NO,64,64,239.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (102.4) | Atlanta Hawks hot (WARM)
2025-11-04,Milwaukee Bucks @ Toronto Raptors,225.5,MAYBE,79,79,228.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,214.5,NO,60,60,228.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Above average pace (99.2) | Both teams neutral form
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,219.5,NO,50,50,233.0,True,SKIPPED,Elite offense (avg ORtg: 117.3) | Average pace (97.3) | Moderate buffer (14.8 pts above minimum)
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,219.5,NO,50,50,233.0,True,SKIPPED,Elite offense (avg ORtg: 117.3) | Average pace (97.3) | Moderate buffer (14.8 pts above minimum)
2025-11-04,Philadelphia 76ers @ Chicago Bulls,229.0,YES,83,83,224.0,False,LOSS,Elite offense (avg ORtg: 119.8) | Fast pace (101.1) | Both teams neutral form
2025-11-04,Milwaukee Bucks @ Toronto Raptors,225.5,MAYBE,79,79,228.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-11-04,Orlando Magic @ Atlanta Hawks,218.0,NO,64,64,239.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (102.4) | Atlanta Hawks hot (WARM)
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,214.5,NO,60,60,228.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Above average pace (99.2) | Both teams neutral form
2025-11-04,Phoenix Suns @ Golden State Warriors,219.5,NO,65,65,225.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (100.3) | Good buffer (15.0 pts above minimum)
2025-11-04,Phoenix Suns @ Golden State Warriors,219.5,NO,65,65,225.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (100.3) | Good buffer (15.0 pts above minimum)
2025-10-21,Golden State Warriors @ Los Angeles Lakers,222.5,MAYBE,72,72,228.0,True,SKIPPED,Elite offense (avg ORtg: 117.5) | Fast pace (100.3) | Moderate buffer (14.9 pts above minimum)
2025-10-21,Houston Rockets @ Oklahoma City Thunder,232.5,NO,67,67,249.0,True,SKIPPED,Elite offense (avg ORtg: 121.9) | Average pace (97.2) | Houston Rockets hot (HOT)
2025-10-21,Golden State Warriors @ Los Angeles Lakers,222.5,MAYBE,72,72,228.0,True,SKIPPED,Elite offense (avg ORtg: 117.5) | Fast pace (100.3) | Moderate buffer (14.9 pts above minimum)
2025-10-21,Houston Rockets @ Oklahoma City Thunder,232.5,NO,67,67,249.0,True,SKIPPED,Elite offense (avg ORtg: 121.9) | Average pace (97.2) | Houston Rockets hot (HOT)
2025-10-28,New York Knicks @ Milwaukee Bucks,221.0,YES,83,83,232.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.5) | Both teams neutral form
2025-10-28,Sacramento Kings @ Oklahoma City Thunder,224.0,NO,57,57,208.0,False,SKIPPED,Elite offense (avg ORtg: 116.9) | Above average pace (99.6) | Moderate buffer (14.9 pts above minimum)
2025-10-28,New York Knicks @ Milwaukee Bucks,221.0,YES,83,83,232.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.5) | Both teams neutral form
2025-10-28,Charlotte Hornets @ Miami Heat,229.5,YES,80,80,261.0,True,WIN,Elite offense (avg ORtg: 118.4) | Fast pace (103.2) | Both teams neutral form
2025-10-28,Philadelphia 76ers @ Washington Wizards,221.0,NO,62,62,273.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-10-28,Philadelphia 76ers @ Washington Wizards,221.0,NO,62,62,273.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-10-28,Los Angeles Clippers @ Golden State Warriors,214.5,NO,47,47,177.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Above average pace (98.5) | Moderate buffer (14.8 pts above minimum)
2025-10-28,Charlotte Hornets @ Miami Heat,229.5,YES,80,80,261.0,True,WIN,Elite offense (avg ORtg: 118.4) | Fast pace (103.2) | Both teams neutral form
2025-10-28,Los Angeles Clippers @ Golden State Warriors,214.5,NO,47,47,177.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Above average pace (98.5) | Moderate buffer (14.8 pts above minimum)
2025-10-28,Sacramento Kings @ Oklahoma City Thunder,224.0,NO,57,57,208.0,False,SKIPPED,Elite offense (avg ORtg: 116.9) | Above average pace (99.6) | Moderate buffer (14.9 pts above minimum)
2025-10-22,Toronto Raptors @ Atlanta Hawks,222.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (102.1) | Both teams hot (HOT/WARM)
2025-10-22,Detroit Pistons @ Chicago Bulls,221.5,YES,84,84,226.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.2) | Detroit Pistons hot (HOT)
2025-10-22,New Orleans Pelicans @ Memphis Grizzlies,209.5,NO,40,40,250.0,True,SKIPPED,Above average pace (99.8) | Both teams neutral form | Moderate buffer (14.9 pts above minimum)
2025-10-22,Miami Heat @ Orlando Magic,225.0,MAYBE,73,73,246.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (104.0) | Both teams neutral form
2025-10-22,Los Angeles Clippers @ Utah Jazz,212.5,NO,64,64,237.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Above average pace (98.1) | Utah Jazz hot (HOT)
2025-10-22,San Antonio Spurs @ Dallas Mavericks,210.5,NO,57,57,217.0,True,SKIPPED,Fast pace (100.7) | Dallas Mavericks hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-22,Minnesota Timberwolves @ Portland Trail Blazers,222.0,YES,83,83,232.0,True,WIN,Elite offense (avg ORtg: 116.8) | Fast pace (101.5) | Both teams neutral form
2025-10-22,Sacramento Kings @ Phoenix Suns,218.0,NO,65,65,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (101.0) | Good buffer (15.2 pts above minimum)
2025-10-22,Cleveland Cavaliers @ New York Knicks,215.5,MAYBE,70,70,230.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.5) | Both teams neutral form
2025-10-22,Brooklyn Nets @ Charlotte Hornets,217.5,MAYBE,70,70,253.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Above average pace (100.0) | Both teams neutral form
2025-10-22,San Antonio Spurs @ Dallas Mavericks,210.5,NO,57,57,217.0,True,SKIPPED,Fast pace (100.7) | Dallas Mavericks hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-22,Philadelphia 76ers @ Boston Celtics,219.0,MAYBE,77,77,233.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (98.5) | Boston Celtics hot (HOT)
2025-10-22,Washington Wizards @ Milwaukee Bucks,217.5,NO,57,57,253.0,True,SKIPPED,Fast pace (103.3) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-22,Minnesota Timberwolves @ Portland Trail Blazers,222.0,YES,83,83,232.0,True,WIN,Elite offense (avg ORtg: 116.8) | Fast pace (101.5) | Both teams neutral form
2025-10-22,Philadelphia 76ers @ Boston Celtics,219.0,MAYBE,77,77,233.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (98.5) | Boston Celtics hot (HOT)
2025-10-22,Cleveland Cavaliers @ New York Knicks,215.5,MAYBE,70,70,230.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.5) | Both teams neutral form
2025-10-22,Washington Wizards @ Milwaukee Bucks,217.5,NO,57,57,253.0,True,SKIPPED,Fast pace (103.3) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-22,Brooklyn Nets @ Charlotte Hornets,217.5,MAYBE,70,70,253.0,True,SKIPPED,Elite offense (avg ORtg: 116.2) | Above average pace (100.0) | Both teams neutral form
2025-10-22,Los Angeles Clippers @ Utah Jazz,212.5,NO,64,64,237.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Above average pace (98.1) | Utah Jazz hot (HOT)
2025-10-22,Toronto Raptors @ Atlanta Hawks,222.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (102.1) | Both teams hot (HOT/WARM)
2025-10-22,Detroit Pistons @ Chicago Bulls,221.5,YES,84,84,226.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.2) | Detroit Pistons hot (HOT)
2025-10-22,New Orleans Pelicans @ Memphis Grizzlies,209.5,NO,40,40,250.0,True,SKIPPED,Above average pace (99.8) | Both teams neutral form | Moderate buffer (14.9 pts above minimum)
2025-10-22,Sacramento Kings @ Phoenix Suns,218.0,NO,65,65,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (101.0) | Good buffer (15.2 pts above minimum)
2025-10-22,Miami Heat @ Orlando Magic,225.0,MAYBE,73,73,246.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (104.0) | Both teams neutral form
2025-10-29,New Orleans Pelicans @ Denver Nuggets,219.0,MAYBE,74,74,210.0,False,SKIPPED,Elite offense (avg ORtg: 116.3) | Above average pace (98.8) | Denver Nuggets hot (WARM)
2025-10-29,Indiana Pacers @ Dallas Mavericks,205.0,NO,65,65,212.0,True,SKIPPED,Fast pace (102.6) | Both teams hot (WARM/HOT) | Good buffer (15.2 pts above minimum)
2025-10-29,Sacramento Kings @ Chicago Bulls,221.5,MAYBE,70,70,239.0,True,SKIPPED,Elite offense (avg ORtg: 116.6) | Fast pace (101.5) | Good buffer (15.2 pts above minimum)
2025-10-29,Atlanta Hawks @ Brooklyn Nets,213.5,NO,67,67,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (100.6) | Atlanta Hawks hot (WARM)
2025-10-29,Orlando Magic @ Detroit Pistons,217.0,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (101.8) | Detroit Pistons hot (HOT)
2025-10-29,Cleveland Cavaliers @ Boston Celtics,209.5,NO,57,57,230.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (99.2) | Boston Celtics hot (HOT)
2025-10-29,Houston Rockets @ Toronto Raptors,230.5,YES,82,82,260.0,True,WIN,Elite offense (avg ORtg: 121.3) | Above average pace (99.4) | Both teams hot (HOT/HOT)
2025-10-29,Portland Trail Blazers @ Utah Jazz,221.0,MAYBE,74,74,270.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.6) | Utah Jazz hot (HOT)
2025-10-29,Los Angeles Lakers @ Minnesota Timberwolves,221.5,MAYBE,73,73,231.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-29,Memphis Grizzlies @ Phoenix Suns,217.5,NO,60,60,227.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.9) | Fast pace (101.4) | Both teams neutral form
2025-10-29,Houston Rockets @ Toronto Raptors,230.5,YES,82,82,260.0,True,WIN,Elite offense (avg ORtg: 121.3) | Above average pace (99.4) | Both teams hot (HOT/HOT)
2025-10-29,Cleveland Cavaliers @ Boston Celtics,209.5,NO,57,57,230.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (99.2) | Boston Celtics hot (HOT)
2025-10-29,Orlando Magic @ Detroit Pistons,217.0,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (101.8) | Detroit Pistons hot (HOT)
2025-10-29,Atlanta Hawks @ Brooklyn Nets,213.5,NO,67,67,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (100.6) | Atlanta Hawks hot (WARM)
2025-10-29,Sacramento Kings @ Chicago Bulls,221.5,MAYBE,70,70,239.0,True,SKIPPED,Elite offense (avg ORtg: 116.6) | Fast pace (101.5) | Good buffer (15.2 pts above minimum)
2025-10-29,Indiana Pacers @ Dallas Mavericks,205.0,NO,65,65,212.0,True,SKIPPED,Fast pace (102.6) | Both teams hot (WARM/HOT) | Good buffer (15.2 pts above minimum)
2025-10-29,Portland Trail Blazers @ Utah Jazz,221.0,MAYBE,74,74,270.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.6) | Utah Jazz hot (HOT)
2025-10-29,Los Angeles Lakers @ Minnesota Timberwolves,221.5,MAYBE,73,73,231.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-29,Memphis Grizzlies @ Phoenix Suns,217.5,NO,60,60,227.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.9) | Fast pace (101.4) | Both teams neutral form
2025-10-29,New Orleans Pelicans @ Denver Nuggets,219.0,MAYBE,74,74,210.0,False,SKIPPED,Elite offense (avg ORtg: 116.3) | Above average pace (98.8) | Denver Nuggets hot (WARM)
